Text,Parsed
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts","[['XIDE TIT', 'PERSON'], ['PNK CPW BPZ', 'ORG'], ['1', 'CARDINAL'], ['2', 'CARDINAL']]"
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,"[['AAP', 'ORG'], ['55%', 'PERCENT'], ['FEA', 'ORG'], ['15', 'CARDINAL'], ['the year', 'DATE']]"
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,"[['AMZN', 'ORG']]"
MNTA Over 12.00  ,"[['MNTA', 'ORG'], ['12.00', 'CARDINAL']]"
OI  Over 21.37  ,"[['21.37', 'CARDINAL']]"
PGNX  Over 3.04  ,"[['PGNX', 'ORG'], ['3.04', 'CARDINAL']]"
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,[]
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,"[['Monday', 'DATE'], ['NYX WIN TIE TAP ICE', 'ORG'], ['INT BMC AON C CHK', 'ORG']]"
GOOG - ower trend line channel test & volume support.   ,[]
AAP will watch tomorrow for ONG entry.,"[['AAP', 'ORG'], ['tomorrow', 'DATE'], ['ONG', 'ORG']]"
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,"[['FCX', 'ORG'], ['tomorrow', 'DATE'], ['34.25', 'CARDINAL']]"
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm","[['bac spx jpm', 'ORG']]"
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,"[['AAP', 'ORG'], ['GAMCO', 'ORG'], ['arry', 'ORG'], ['Apple', 'ORG']]"
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,"[['Maykiljil', 'PERSON'], ['30', 'CARDINAL']]"
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,"[['Friday', 'DATE'], ['ong', 'ORG']]"
HA Hitting 35.65 means resume targeting 42 level ..  ,"[['35.65', 'CARDINAL'], ['42', 'CARDINAL']]"
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,"[['today', 'DATE'], ['May', 'DATE'], ['c+h', 'ORG'], ['OC', 'ORG'], ['weekly', 'DATE'], ['july 2011', 'DATE']]"
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,"[['FCX', 'ORG'], ['at least 35', 'CARDINAL']]"
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ","[['FISV', 'ORG'], ['SYK', 'ORG']]"
ATHX upper trend line   ,[]
NG - nice PNF BY - breakout - need follow thru  ,"[['NG', 'ORG']]"
Won't believe AAP uptrend is back until it crosses above MA(50),"[['AAP', 'ORG']]"
X swing still on   ,[]
SWY - 30% of float short and breaking out - ouch,"[['SWY', 'ORG'], ['30%', 'PERCENT']]"
BIOF wants 4.90's comin!!!,"[['BIOF', 'ORG'], ['4.90', 'CARDINAL']]"
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,"[['VS', 'PRODUCT']]"
" red, not ready for break out.",[]
EI close to breaking out now.  My trigger is at 30.40.   ,"[['EI', 'PERSON'], ['30.40', 'CARDINAL']]"
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,"[['BAC', 'ORG'], ['~11.98', 'PRODUCT'], ['IMHO', 'PRODUCT']]"
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ","[['CHDN - ong', 'ORG'], ['49.02', 'CARDINAL'], ['56.66', 'CARDINAL'], ['6', 'CARDINAL'], ['54.17', 'CARDINAL'], ['49.88', 'CARDINAL'], ['49.82', 'CARDINAL'], ['45.47', 'CARDINAL'], ['43.02', 'CARDINAL'], ['41.92', 'CARDINAL']]"
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,"[['AAP', 'ORG'], ['today', 'DATE'], ['30', 'CARDINAL'], ['today', 'DATE']]"
"user: been adding VXY long off the bottom today for trade, also got WPI near low","[['VXY', 'ORG'], ['today', 'DATE'], ['WPI', 'ORG']]"
"I repeat, if global economy is going to get better this year go with C instead of BAC","[['this year', 'DATE']]"
GOOG go ONG on close above 725.,"[['GOOG', 'ORG'], ['ONG', 'ORG'], ['725', 'CARDINAL']]"
NKD looking like a good short. Failed to break price level resistance at 116 today.,"[['NKD', 'ORG'], ['116 today', 'TIME']]"
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,"[['GS', 'ORG'], ['130', 'CARDINAL'], ['ONG', 'ORG']]"
SBX buy when it clears resistance at 54.5,"[['SBX', 'ORG'], ['54.5', 'CARDINAL']]"
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,"[['AAP', 'ORG'], ['Monday', 'DATE']]"
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,"[['a few days', 'DATE']]"
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,"[['AAP', 'ORG'], ['Apple Store', 'ORG'], ['Paris', 'GPE']]"
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),"[['AXA Here', 'ORG'], ['the day', 'DATE']]"
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,"[['1/2', 'CARDINAL'], ['today', 'DATE'], ['Kirby', 'PERSON'], ['26.00', 'CARDINAL'], ['1/2', 'CARDINAL']]"
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ","[['10 min', 'TIME']]"
NG stellar move - still long swing - full position - I believe user & user in it 2  ,"[['NG', 'ORG'], ['2', 'CARDINAL']]"
ATICE & TADE SETP:  KO AN CNX,"[['ATICE & TADE SETP:', 'ORG'], ['KO AN', 'ORG']]"
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,"[['IDCC 50SMA', 'ORG']]"
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ","[['19 Month', 'DATE']]"
c two daily  bull flags on top of each other=bullish still  ,"[['two', 'CARDINAL'], ['daily', 'DATE']]"
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,"[['NG', 'ORG']]"
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,[]
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,"[['EOG', 'ORG'], ['127', 'CARDINAL'], ['Feb 11th', 'DATE'], ['1/2', 'CARDINAL']]"
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ","[['aapl daily', 'ORG'], ['600', 'CARDINAL']]"
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,"[['PHM PulteGroup Option Bear', 'ORG'], ['1.5 Million', 'CARDINAL'], ['11%', 'PERCENT'], ['April', 'DATE']]"
BAC In a 11.97 for a trade,"[['11.97', 'CARDINAL']]"
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,"[['SHD WTW P Prepare', 'PRODUCT']]"
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY","[['AMZN', 'ORG'], ['EBAY', 'ORG']]"
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ","[['first', 'ORDINAL'], ['49.54', 'CARDINAL'], ['47.43', 'CARDINAL']]"
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,"[['139.81', 'CARDINAL'], ['131.92', 'CARDINAL']]"
SK to the GAVE!,[]
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,"[['ovti ttm', 'PERSON'], ['Oct 2012', 'DATE'], ['273%', 'PERCENT'], ['ttm', 'ORG'], ['oct 2011', 'DATE']]"
AAP and GOOG should respond positively to good jobless claims numbers,"[['AAP', 'ORG'], ['GOOG', 'ORG']]"
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,"[['AAP', 'ORG']]"
user Nice! Color me an INTC bull as well!,"[['INTC', 'PERSON']]"
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...","[['1/8/13', 'CARDINAL'], [""EAY Begin Cranking 'Til 1/16"", 'ORG'], ['GS JPM EBAY', 'ORG']]"
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ","[['WO', 'ORG'], ['26.64', 'CARDINAL'], ['36', 'CARDINAL'], ['23.50', 'CARDINAL']]"
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ","[['DC', 'GPE'], ['58.50', 'CARDINAL'], ['67', 'CARDINAL'], ['53', 'CARDINAL']]"
GOOG looks all set to make new ATH. Now before or after E is the unknown.,"[['GOOG', 'ORG'], ['ATH', 'ORG']]"
