Text,Target,Predicted
"Gap-Down Opening Likely For Sensex, Nifty Amid Coronavirus Crisis
https://t.co/AiFWj2Q5q0",1,1
my advice to apple: Bruce wayne father: Why do we fall down bruce? So we can learn to pick ourselves up again. Get some legs AAP,0,0
"I am long AAP (about break-even) and EAIEST I'd sell is 2014, if no dividend hike happens. PE is under 9 right now on FY14 EPS of 56.",0,0
HN trying to hold on to the bottom of this channel  ,0,0
"FOD continuing to act nicely, 2.90-3.00 potential target zone",0,0
"Borrowers Unlikely To Get Loan Moratorium Benefit As Banks Will Charge Interest Later
https://t.co/f8h7OXeKT3",0,1
"AAP interesting how ppl blame the c/o for  heggies and Dark_pools do with stock prices, once public there is very little anybody can do",0,0
It's a racket out there and the media is on it else they would have taken every expert who had been pumping AAP all along to task today.,1,1
"RT @telisdemos: Luckin Coffee chairman had a half-billion dollar margin loan, global banks stand to lost $100m https://t.co/HdwRjLaCP8",1,1
"ICICI Bank To Invest Up To Rs 1,000 Crore In Crisis-Hit Yes Bank
https://t.co/aLpDGELNcX",0,0
"Rupee Jumps To Return To 74 Levels Against Dollar After RBI Announcements 
https://t.co/pCA3VolJsh",1,0
TPX my move is in play - motion to 35 then 33 and will cover,1,0
AAP trader keeps reloading selling in 250 lots in the Feb 445P. -49 delta option could create support or push stock up temp,0,0
"I'm not short, but if I was going to put a trade on, it would be a short from 530 back to the 50d MA",1,1
AAP Bearish MACD Crossover,1,1
Market Wrap Video + Additions to Watch ist  including: AMSC KBH MHK TW TTMI,0,0
Indian banking system safe and sound: Shaktikanta Das,0,0
GMC looks good filling gap up to 50,0,0
What is JCP real estate worth if no-one is buying big box space in today's market?,1,0
out of FOS short for now as it tests its 50DMA awesome trade up 4 2 days,1,1
"US Stock Markets End Over 2% Higher After Jump In Crude Oil Prices
https://t.co/p1K4bvHIso",0,0
user jmixer I will wait for 0.57 to re-charge again my weapon against INO,1,1
"Sensex, Nifty Take Breather From Coronavirus-Fueled Selloff
https://t.co/CDJcBSP6JI",0,0
BAC ot of buying on last minute !!!,0,0
"CAT added more 82.50 lotto Puts, Trap Door Coming!",1,1
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,0,0
"ASTM like it over 1.32, needs better vol",0,0
BA sold 1/3 earlier off my post from the other evening. Starter in GMED. like the setup and the recent eps. Acts right and I will add,0,0
ESI from watch list at the lower of 2 lines on volume of 11% of full day average  ,0,0
"eview Of Open Positions - Stocks stks.co/r5am featuring KOS, V, S, CTGX, PO, AEE, NKE, C",0,0
ACTG possible breakdown tomorrow...,1,0
"QCO is one of my favorite value stocks. Zero debt, great margins, low P/E and PEG, and soaring income. I am long!",0,0
"AIM looks interesting for a trade, will look to open 1/2 pos",0,0
"ZOT good entry here, next fib level is 10.39, and current support is 10.08.",0,0
S from the action last week looks like S and CW may be heating up again for big run #3,0,0
"user: AAP setting up for a sell the news tomorrow on Cook speech.  He is no Jobs, market will be disappointed. Iwatch? Gimme a break",1,0
AAP  100 week support   ,1,1
"HA EPS estimates being slashed as squeezed stock crash lands, looking for low 5's  ",1,1
SPW seeing a bearish divergence forming.  on watch for a flush to short.,1,1
this could be the last good chance to short AMZN,1,1
Anyone follow CST? earnings Feb 7th AMC looks interesting here off 50day under 50/share may get a bid into the report on #WATCHIST,0,0
"Indian Stocks Rebound Sharply, But Suffer Worst Week Since 2009
https://t.co/r5RNbKDRnL",1,1
The Dow has rallied 6% today as investors react to early signs that lockdowns in the U.S. and Europe may be helpingâ€¦ https://t.co/W7UUwREpdJ,1,1
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",0,0
AAP another leg down to 422ish,1,1
AIG American International Group Option Traders bet on 4% down move by next Friday  ,1,1
"COMPQ on a mission to 52 Week Highs...With,...or Without... AAP. Juuuuust aaaanooootherrrrrr 1.35%. You can do it!!! ES_F",0,0
AAP - 3 scenarios to watch ahead of Apple earnings and the resulting price action  ,1,1
CAT green to red soon.,1,1
"AAP trading close to point&figure trend line support. Next target is 470, at trend support.  ",1,1
APC weeeee,1,0
VIX in single digits and SPX at new ATH is coming. Hopefully AAP will cut the ribbon for SPX at new ATH. ong time coming.,0,1
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",1,1
AFFY GMX GOOG NVA THD MACK 5 Stocks Poised for Breakouts - My story via user  ,0,1
HSNI has missed the expectations: 4Q2012 EPS diluted is 1 vs 1.04 consensus vs 1.06 whisper,1,0
NKD nov and dec had disease now its the cure - not a believer - shorting,1,0
AEG 30 min O and 1 overlaid 20 ema cruising higher   ,0,0
CEE should crack 45 not letting go above 45.15 with full cover then will reshort again - CEE on the red train down now,1,1
AAP Dump in Progress...,1,1
QCOM vs QQQ = elative strength  ,0,0
PCYC volume is everything! POSTED VIDEO with sound   ,0,0
BAC Sell-Off of the day begin !,1,0
