Text,Target,Predicted,Parsed
"Gap-Down Opening Likely For Sensex, Nifty Amid Coronavirus Crisis
https://t.co/AiFWj2Q5q0",-1,-1,[]
my advice to apple: Bruce wayne father: Why do we fall down bruce? So we can learn to pick ourselves up again. Get some legs AAP,1,1,"[('Bruce wayne', 'PERSON'), ('AAP', 'ORG')]"
"I am long AAP (about break-even) and EAIEST I'd sell is 2014, if no dividend hike happens. PE is under 9 right now on FY14 EPS of 56.",1,1,"[('AAP', 'ORG'), ('2014', 'DATE'), ('FY14 EPS', 'ORG'), ('56', 'CARDINAL')]"
HN trying to hold on to the bottom of this channel  ,1,1,[]
"FOD continuing to act nicely, 2.90-3.00 potential target zone",1,1,"[('2.90', 'CARDINAL')]"
"Borrowers Unlikely To Get Loan Moratorium Benefit As Banks Will Charge Interest Later
https://t.co/f8h7OXeKT3",1,-1,[]
"AAP interesting how ppl blame the c/o for  heggies and Dark_pools do with stock prices, once public there is very little anybody can do",1,1,"[('AAP', 'ORG'), ('ppl', 'PERSON'), ('the c/o', 'ORG')]"
It's a racket out there and the media is on it else they would have taken every expert who had been pumping AAP all along to task today.,-1,-1,"[('AAP', 'ORG'), ('today', 'DATE')]"
"RT @telisdemos: Luckin Coffee chairman had a half-billion dollar margin loan, global banks stand to lost $100m https://t.co/HdwRjLaCP8",-1,-1,"[('RT @telisdemos', 'PERSON'), ('Luckin Coffee', 'ORG'), ('half-billion dollar', 'MONEY'), ('100', 'MONEY'), ('https://t.co/HdwRjLaCP8', 'ORG')]"
"ICICI Bank To Invest Up To Rs 1,000 Crore In Crisis-Hit Yes Bank
https://t.co/aLpDGELNcX",1,1,
"Rupee Jumps To Return To 74 Levels Against Dollar After RBI Announcements 
https://t.co/pCA3VolJsh",-1,1,"[('RBI Announcements', 'ORG'), ('https://t.co/pCA3VolJsh', 'PERSON')]"
TPX my move is in play - motion to 35 then 33 and will cover,-1,1,"[('35', 'CARDINAL'), ('33', 'DATE')]"
AAP trader keeps reloading selling in 250 lots in the Feb 445P. -49 delta option could create support or push stock up temp,1,1,"[('AAP', 'ORG'), ('250', 'CARDINAL'), ('Feb 445P. -49', 'DATE')]"
"I'm not short, but if I was going to put a trade on, it would be a short from 530 back to the 50d MA",-1,-1,"[('530', 'CARDINAL'), ('50d', 'CARDINAL')]"
AAP Bearish MACD Crossover,-1,-1,[]
Market Wrap Video + Additions to Watch ist  including: AMSC KBH MHK TW TTMI,1,1,"[('AMSC', 'ORG'), ('MHK TW', 'PERSON')]"
Indian banking system safe and sound: Shaktikanta Das,1,1,"[('Indian', 'NORP'), ('Shaktikanta Das', 'ORG')]"
GMC looks good filling gap up to 50,1,1,"[('GMC', 'ORG'), ('up to 50', 'CARDINAL')]"
What is JCP real estate worth if no-one is buying big box space in today's market?,-1,1,"[('JCP', 'ORG'), ('today', 'DATE')]"
out of FOS short for now as it tests its 50DMA awesome trade up 4 2 days,-1,-1,"[('FOS', 'ORG'), ('50DMA', 'CARDINAL'), ('4 2 days', 'DATE')]"
"US Stock Markets End Over 2% Higher After Jump In Crude Oil Prices
https://t.co/p1K4bvHIso",1,1,"[('US Stock Markets End', 'ORG'), ('2%', 'PERCENT')]"
user jmixer I will wait for 0.57 to re-charge again my weapon against INO,-1,-1,"[('0.57', 'CARDINAL')]"
"Sensex, Nifty Take Breather From Coronavirus-Fueled Selloff
https://t.co/CDJcBSP6JI",1,1,"[('Selloff\r\nhttps://t.co/CDJcBSP6JI', 'ORG')]"
BAC ot of buying on last minute !!!,1,1,"[('last minute', 'TIME')]"
"CAT added more 82.50 lotto Puts, Trap Door Coming!",-1,-1,"[('CAT', 'ORG'), ('82.50', 'CARDINAL')]"
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1,1,"[('50-day', 'DATE'), ('EMA', 'ORG'), ('5%', 'PERCENT'), ('full day', 'DATE')]"
"ASTM like it over 1.32, needs better vol",1,1,"[('1.32', 'CARDINAL')]"
BA sold 1/3 earlier off my post from the other evening. Starter in GMED. like the setup and the recent eps. Acts right and I will add,1,1,"[('BA', 'ORG'), ('1/3', 'CARDINAL'), ('evening', 'TIME'), ('GMED', 'PERSON')]"
ESI from watch list at the lower of 2 lines on volume of 11% of full day average  ,1,1,"[('ESI', 'ORG'), ('2', 'CARDINAL'), ('11%', 'PERCENT'), ('full day', 'DATE')]"
"eview Of Open Positions - Stocks stks.co/r5am featuring KOS, V, S, CTGX, PO, AEE, NKE, C",1,1,"[('KOS', 'PERSON'), ('PO', 'GPE'), ('AEE', 'GPE'), ('NKE', 'ORG')]"
ACTG possible breakdown tomorrow...,-1,1,"[('ACTG', 'ORG'), ('tomorrow', 'DATE')]"
"QCO is one of my favorite value stocks. Zero debt, great margins, low P/E and PEG, and soaring income. I am long!",1,1,"[('QCO', 'ORG'), ('Zero', 'CARDINAL')]"
"AIM looks interesting for a trade, will look to open 1/2 pos",1,1,"[('AIM', 'ORG'), ('1/2', 'CARDINAL')]"
"ZOT good entry here, next fib level is 10.39, and current support is 10.08.",1,1,"[('ZOT', 'PERSON'), ('10.39', 'CARDINAL'), ('10.08', 'CARDINAL')]"
S from the action last week looks like S and CW may be heating up again for big run #3,1,1,"[('last week', 'DATE'), ('S', 'ORG'), ('CW', 'ORG'), ('3', 'MONEY')]"
"user: AAP setting up for a sell the news tomorrow on Cook speech.  He is no Jobs, market will be disappointed. Iwatch? Gimme a break",-1,1,"[('AAP', 'ORG'), ('tomorrow', 'DATE'), ('Cook', 'PERSON')]"
AAP  100 week support   ,-1,-1,"[('AAP', 'ORG'), ('100 week', 'DATE')]"
"HA EPS estimates being slashed as squeezed stock crash lands, looking for low 5's  ",-1,-1,"[('HA EPS', 'ORG'), ('5', 'CARDINAL')]"
SPW seeing a bearish divergence forming.  on watch for a flush to short.,-1,-1,"[('SPW', 'ORG')]"
this could be the last good chance to short AMZN,-1,-1,"[('AMZN', 'ORG')]"
Anyone follow CST? earnings Feb 7th AMC looks interesting here off 50day under 50/share may get a bid into the report on #WATCHIST,1,1,"[('Feb 7th', 'DATE'), ('AMC', 'ORG'), ('50day', 'DATE')]"
"Indian Stocks Rebound Sharply, But Suffer Worst Week Since 2009
https://t.co/r5RNbKDRnL",-1,-1,
The Dow has rallied 6% today as investors react to early signs that lockdowns in the U.S. and Europe may be helpingâ€¦ https://t.co/W7UUwREpdJ,-1,-1,"[('Dow', 'ORG'), ('6%', 'PERCENT'), ('today', 'DATE'), ('U.S.', 'GPE'), ('Europe', 'LOC')]"
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1,1,"[('19 Month', 'DATE')]"
AAP another leg down to 422ish,-1,-1,"[('AAP', 'ORG'), ('422ish', 'CARDINAL')]"
AIG American International Group Option Traders bet on 4% down move by next Friday  ,-1,-1,"[('AIG American International Group Option Traders', 'ORG'), ('4%', 'PERCENT'), ('next Friday', 'DATE')]"
"COMPQ on a mission to 52 Week Highs...With,...or Without... AAP. Juuuuust aaaanooootherrrrrr 1.35%. You can do it!!! ES_F",1,1,"[('COMPQ', 'ORG'), ('52 Week', 'DATE'), ('1.35%', 'PERCENT')]"
AAP - 3 scenarios to watch ahead of Apple earnings and the resulting price action  ,-1,-1,"[('Apple', 'ORG')]"
CAT green to red soon.,-1,-1,"[('CAT', 'ORG')]"
"AAP trading close to point&figure trend line support. Next target is 470, at trend support.  ",-1,-1,"[('AAP', 'ORG'), ('470', 'CARDINAL')]"
APC weeeee,-1,1,[]
VIX in single digits and SPX at new ATH is coming. Hopefully AAP will cut the ribbon for SPX at new ATH. ong time coming.,1,-1,"[('SPX', 'ORG'), ('ATH', 'ORG'), ('AAP', 'ORG'), ('SPX', 'ORG'), ('ATH', 'ORG')]"
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",-1,-1,"[('enko', 'PERSON'), ('0.25', 'CARDINAL')]"
AFFY GMX GOOG NVA THD MACK 5 Stocks Poised for Breakouts - My story via user  ,1,-1,"[('AFFY GMX GOOG NVA THD MACK 5 Stocks', 'ORG')]"
HSNI has missed the expectations: 4Q2012 EPS diluted is 1 vs 1.04 consensus vs 1.06 whisper,-1,1,"[('4Q2012', 'CARDINAL'), ('1', 'CARDINAL'), ('1.04', 'CARDINAL'), ('1.06', 'CARDINAL')]"
NKD nov and dec had disease now its the cure - not a believer - shorting,-1,1,"[('NKD', 'ORG'), ('dec', 'PERSON')]"
AEG 30 min O and 1 overlaid 20 ema cruising higher   ,1,1,"[('AEG', 'ORG'), ('30 min O', 'TIME'), ('1', 'CARDINAL'), ('20', 'CARDINAL'), ('ema', 'ORG')]"
CEE should crack 45 not letting go above 45.15 with full cover then will reshort again - CEE on the red train down now,-1,-1,"[('CEE', 'ORG'), ('45', 'CARDINAL'), ('45.15', 'CARDINAL'), ('CEE', 'ORG')]"
AAP Dump in Progress...,-1,-1,[]
QCOM vs QQQ = elative strength  ,1,1,[]
PCYC volume is everything! POSTED VIDEO with sound   ,1,1,[]
BAC Sell-Off of the day begin !,-1,1,[]
"Goldman Sachs tells investors to go defensive amid share market slump, pick large-caps to beat virus
#sensex… https://t.co/QCVjebyKle",-1,-1,
CIEN still a good short if it goes under 17.11 and stays there.,-1,-1,"[('under 17.11', 'CARDINAL')]"
Come on CAT do the Harlem Shake.,-1,-1,"[('CAT', 'ORG')]"
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",1,1,"[('AMZN VOME', 'ORG')]"
AMK a nice short below 3.99  ,-1,-1,"[('AMK', 'ORG'), ('3.99', 'CARDINAL')]"
"Glencore, Teck, First Quantum and other miners, find some mines under siege by protesters accusing them of bringingâ€¦ https://t.co/cS7tPLPgc6",-1,1,"[('Teck', 'ORG'), ('First Quantum', 'ORG')]"
"G full year 2012 revs +50%, EPS +72% vs 2011.",1,1,"[('full year 2012', 'DATE'), ('EPS', 'ORG'), ('+72%', 'PERCENT'), ('2011', 'DATE')]"
JCP is anyone else listening to this? eal smart use pension plan as collateral to take on more debt with no core improvements.,-1,-1,"[('JCP', 'ORG')]"
"Adding COH Coach to short term portfolio, extremely oversold and good fundamentals. Superior sales growth, margins, OE. elatively low P/E",1,-1,"[('Adding COH Coach', 'PERSON'), ('OE', 'ORG')]"
"Multi-day downswing in ES_F favored, see demand zone at 1442.00-1423.75 SPX SPY #stocks.   ",-1,-1,"[('1442.00', 'CARDINAL')]"
ove GNW!! 9-13 Calls are making me feel better about myself for not dumping AAP sooner!,1,1,"[('9-13', 'CARDINAL'), ('AAP', 'ORG')]"
"As long as it doesn't cross the 21.58 Fibonacci evel, the short is valid. INTC",-1,-1,"[('21.58', 'CARDINAL')]"
RT @minzengwsj: WSJ: Boeing is expected to begin offering early retirement and buyout packages to its workforce as the plane maker comes toâ€¦,1,1,"[('WSJ', 'ORG'), ('Boeing', 'ORG')]"
"With the mess that Twitter andThe Grammy's made of Hashtags #sting (are you kidding me), excited for GOOG to just step in and print  off #",1,1,"[(""Twitter andThe Grammy's"", 'PRODUCT'), ('GOOG', 'ORG')]"
NKD stormed back in week #2 with a 4.29% gain after being the dog in week #1 #13for2013   ,1,1,"[('NKD', 'ORG'), ('2', 'MONEY'), ('4.29%', 'PERCENT'), ('week', 'DATE'), ('#1 #', 'MONEY'), ('13for2013', 'MONEY')]"
"Air Deccan Ceases Operations, All Employees On ''Sabbatical Without Pay''
https://t.co/4GVDLoOJ97",-1,-1,"[('Air Deccan Ceases Operations', 'ORG')]"
AAP -   percolating? Perhaps a push above 500 soon...,-1,-1,"[('500', 'CARDINAL')]"
DDD worked with 3d design software today. click on a layered part of object  in 3d graphic and 3d printer creates it. Amazing stuff.,1,1,"[('DDD', 'ORG'), ('today', 'DATE')]"
"Green Weekly Triangle on JB,.....Scaling p on ong Position  ",1,1,"[('Green Weekly Triangle', 'ORG'), ('ong Position', 'ORG')]"
been talking about  low priuced stocks flying- FCE buy was Tuesday  - 30% gain way overbought now  ,1,1,"[('FCE', 'ORG'), ('Tuesday', 'DATE'), ('30%', 'PERCENT')]"
